image_path,text
images/img_0001.png,alpha Invoice 2287
images/img_0001_aug_01.png,alpha Invoice 2287
images/img_0001_aug_02.png,alpha Invoice 2287
images/img_0001_aug_03.png,alpha Invoice 2287
images/img_0002.png,delta Hello
images/img_0002_aug_01.png,delta Hello
images/img_0002_aug_02.png,delta Hello
images/img_0002_aug_03.png,delta Hello
images/img_0003.png,Invoice OCR gamma
images/img_0003_aug_01.png,Invoice OCR gamma
images/img_0003_aug_02.png,Invoice OCR gamma
images/img_0003_aug_03.png,Invoice OCR gamma
images/img_0004.png,Date test
images/img_0004_aug_01.png,Date test
images/img_0004_aug_02.png,Date test
images/img_0004_aug_03.png,Date test
images/img_0005.png,delta Data alpha Amount Date Document
images/img_0005_aug_01.png,delta Data alpha Amount Date Document
images/img_0005_aug_02.png,delta Data alpha Amount Date Document
images/img_0005_aug_03.png,delta Data alpha Amount Date Document
images/img_0006.png,Data gamma
images/img_0006_aug_01.png,Data gamma
images/img_0006_aug_02.png,Data gamma
images/img_0006_aug_03.png,Data gamma
images/img_0007.png,Data Data
images/img_0007_aug_01.png,Data Data
images/img_0007_aug_02.png,Data Data
images/img_0007_aug_03.png,Data Data
images/img_0008.png,Amount Invoice 2627
images/img_0008_aug_01.png,Amount Invoice 2627
images/img_0008_aug_02.png,Amount Invoice 2627
images/img_0008_aug_03.png,Amount Invoice 2627
images/img_0009.png,Name World
images/img_0009_aug_01.png,Name World
images/img_0009_aug_02.png,Name World
images/img_0009_aug_03.png,Name World
images/img_0010.png,alpha Total Data OCR Total Reference 8283
images/img_0010_aug_01.png,alpha Total Data OCR Total Reference 8283
images/img_0010_aug_02.png,alpha Total Data OCR Total Reference 8283
images/img_0010_aug_03.png,alpha Total Data OCR Total Reference 8283
images/img_0011.png,Name gamma
images/img_0011_aug_01.png,Name gamma
images/img_0011_aug_02.png,Name gamma
images/img_0011_aug_03.png,Name gamma
images/img_0012.png,Date OCR delta OCR Value
images/img_0012_aug_01.png,Date OCR delta OCR Value
images/img_0012_aug_02.png,Date OCR delta OCR Value
images/img_0012_aug_03.png,Date OCR delta OCR Value
images/img_0013.png,OpenAI Total Reference Invoice Reference OCR
images/img_0013_aug_01.png,OpenAI Total Reference Invoice Reference OCR
images/img_0013_aug_02.png,OpenAI Total Reference Invoice Reference OCR
