image_path,text
images/img_0001.png,alpha Invoice 2287
images/img_0001_aug_01.png,alpha Invoice 2287
images/img_0001_aug_02.png,alpha Invoice 2287
images/img_0001_aug_03.png,alpha Invoice 2287
images/img_0002.png,delta Hello
images/img_0002_aug_01.png,delta Hello
images/img_0002_aug_02.png,delta Hello
images/img_0002_aug_03.png,delta Hello
images/img_0003.png,Invoice OCR gamma
images/img_0003_aug_01.png,Invoice OCR gamma
images/img_0003_aug_02.png,Invoice OCR gamma
images/img_0003_aug_03.png,Invoice OCR gamma
images/img_0004.png,Date test
images/img_0004_aug_01.png,Date test
images/img_0004_aug_02.png,Date test
images/img_0004_aug_03.png,Date test
images/img_0006.png,Data gamma
images/img_0006_aug_01.png,Data gamma
images/img_0006_aug_02.png,Data gamma
images/img_0006_aug_03.png,Data gamma
images/img_0007.png,Data Data
images/img_0007_aug_01.png,Data Data
images/img_0007_aug_02.png,Data Data
images/img_0007_aug_03.png,Data Data
images/img_0008.png,Amount Invoice 2627
images/img_0008_aug_01.png,Amount Invoice 2627
images/img_0008_aug_02.png,Amount Invoice 2627
images/img_0008_aug_03.png,Amount Invoice 2627
images/img_0009.png,Name World
images/img_0009_aug_01.png,Name World
images/img_0009_aug_02.png,Name World
images/img_0009_aug_03.png,Name World
images/img_0011.png,Name gamma
images/img_0011_aug_01.png,Name gamma
images/img_0011_aug_02.png,Name gamma
images/img_0011_aug_03.png,Name gamma
images/img_0012.png,Date OCR delta OCR Value
images/img_0012_aug_01.png,Date OCR delta OCR Value
images/img_0012_aug_02.png,Date OCR delta OCR Value
images/img_0012_aug_03.png,Date OCR delta OCR Value
images/img_0015.png,delta sample OpenAI World gamma
images/img_0015_aug_01.png,delta sample OpenAI World gamma
images/img_0015_aug_02.png,delta sample OpenAI World gamma
images/img_0015_aug_03.png,delta sample OpenAI World gamma
images/img_0016.png,Hello test OCR Name 6679
images/img_0016_aug_01.png,Hello test OCR Name 6679
images/img_0016_aug_02.png,Hello test OCR Name 6679
images/img_0016_aug_03.png,Hello test OCR Name 6679
images/img_0017.png,test OCR Value Amount
images/img_0017_aug_01.png,test OCR Value Amount
images/img_0017_aug_02.png,test OCR Value Amount
images/img_0017_aug_03.png,test OCR Value Amount
images/img_0019.png,OCR Date Total test Document
images/img_0019_aug_01.png,OCR Date Total test Document
